Example Sentence;Translation Sentence (Ukrainian)
The survivors of the plane crash knew they had to add fuel to the fire to keep it going as a signal.;Ті, хто вижив в авіакатастрофі, знали, що їм потрібно підкидати дров у вогонь, щоб він горів як сигнал.
I'm nervous about the play tonight, but I'll just break a leg!;Я хвилююсь за виставу сьогодні ввечері, але просто скажу: "ні пуху, ні пера"!
She's performing in the concert tonight, so I'll say break a leg!;Вона виступає на концерті сьогодні ввечері, тому скажу: "ні пуху, ні пера"!
He's giving a speech today, so I'll tell him to break a leg!;Він виголошує промову сьогодні, тому скажу йому: "ні пуху, ні пера"!
They're competing in the tournament tomorrow, so I'll wish them to break a leg!;Вони змагаються в турнірі завтра, тому побажаю їм: "ні пуху, ні пера"!
He's taking his driving test today, so I'll tell him to break a leg!;Він сьогодні здає іспит з водіння, тому скажу йому: "ні пуху, ні пера"!
They're presenting their project tomorrow, so let's wish them to break a leg!;Вони завтра презентують свій проект, тому побажаємо їм: "ні пуху, ні пера"!
She's going for a job interview, so I'll say break a leg!;Вона йде на співбесіду, тому скажу: "ні пуху, ні пера"!
He's competing in the tournament, so let's tell him to break a leg!;Він бере участь у турнірі, тому скажімо йому: "ні пуху, ні пера"!
They're performing in the school play, so we'll say break a leg!;Вони виступають у шкільній виставі, тому скажемо: "ні пуху, ні пера"!
She's giving a speech at the conference, so I'll wish her to break a leg!;Вона виступає з промовою на конференції, тому побажаю їй: "ні пуху, ні пера"!
He's taking his final exam, so let's say break a leg!;Він здає фінальний іспит, тому скажімо: "ні пуху, ні пера"!
They're launching their new product, so we'll tell them to break a leg!;Вони запускають новий продукт, тому скажемо їм: "ні пуху, ні пера"!
"Break a leg!" shouted the director to the cast before the curtain rose.;"Ні пуху, ні пера!" – крикнув режисер акторам перед тим, як піднялася завіса.
Before her big audition, her friends all told her to break a leg.;Перед її великим прослуховуванням усі друзі сказали їй: "ні пуху, ні пера!"
He's about to go on stage for his first solo, so let's all wish him to break a leg!;Він ось-ось вийде на сцену для свого першого соло, тож давайте всі побажаємо йому "ні пуху, ні пера"!
The comedian whispered "break a leg" to his opening act.;Комік прошепотів "ні пуху, ні пера" своєму артисту на розігріві.
"This is your moment, go out there and break a leg!" the coach encouraged.;"Це твій момент, вийди і покажи клас (ні пуху, ні пера)!" – підбадьорив тренер.
My parents always tell me to break a leg before any important exam.;Мої батьки завжди кажуть мені "ні пуху, ні пера" перед будь-яким важливим іспитом.
She sent a text message to her brother saying, "Break a leg on your presentation!";Вона надіслала братові текстове повідомлення: "Ні пуху, ні пера на твоїй презентації!"
The entire team wished their captain to break a leg before the championship game.;Уся команда побажала своєму капітану "ні пуху, ні пера" перед чемпіонською грою.
"I know you'll do great. Break a leg!" she said with a smile.;"Я знаю, ти чудово впораєшся. Ні пуху, ні пера!" – сказала вона з посмішкою.
Before the debate, the teacher told both teams to break a leg.;Перед дебатами вчитель сказав обом командам: "ні пуху, ні пера!"
He fell awkwardly during the ski trip and managed to break a leg.;Він невдало впав під час лижної поїздки і примудрився зламати ногу.
The doctor warned that if she continued to play sports with that injury, she might eventually break a leg.;Лікар попередив, що якщо вона продовжить займатися спортом з цією травмою, вона може врешті-решт зламати ногу.
During the accident, the impact was so strong that he thought he might break a leg.;Під час аварії удар був настільки сильним, що він подумав, що може зламати ногу.
"Be careful on that icy patch, you don't want to slip and break a leg," she cautioned.;«Будь обережний на тій слизькій ділянці, ти ж не хочеш послизнутися і зламати ногу», – застерегла вона.
The stuntman knew the risks involved and understood he could break a leg or worse if something went wrong.;Каскадер знав про ризики і розумів, що може зламати ногу або й гірше, якщо щось піде не так.
After falling from the ladder, his immediate fear was that he might break a leg.;Після падіння з драбини його негайним страхом було те, що він міг зламати ногу.
The horse bucked unexpectedly, and the rider was thrown off, lucky not to break a leg.;Кінь несподівано збрикнув, і вершника скинуло, пощастило не зламати ногу.
In his attempt to climb the tree, he lost his footing and was fortunate only to sprain his ankle and not break a leg.;Намагаючись залізти на дерево, він втратив опору, і йому пощастило лише розтягнути щиколотку, а не зламати ногу.
The old wooden floorboard gave way, and he narrowly avoided a fall that could make him break a leg.;Стара дерев'яна мостина провалилася, і він ледь уникнув падіння, яке могло призвести до перелому ноги.
Playing football on the uneven field increased the chances that a player might trip and break a leg.;Гра у футбол на нерівному полі збільшувала шанси на те, що гравець може спіткнутися і зламати ногу.
You need to make the decision now, the ball is in your court.;Тепер тобі потрібно прийняти рішення, черга за тобою.
The proposal is ready, and now the ball is in your court.;Пропозиція готова, і тепер черга за тобою.
We've done our part, and now the ball is in your court.;Ми зробили свою частину, і тепер черга за тобою.
The documents are prepared, and the ball is in your court.;Документи підготовлені, і черга за тобою.
We've made our offer, and now the ball is in your court.;Ми зробили свою пропозицію, і тепер черга за тобою.
The team has completed their tasks, and the ball is in your court.;Команда виконала свої завдання, і черга за тобою.
We've provided all the information, and the ball is in your court.;Ми надали всю інформацію, і черга за тобою.
The options are clear, and the ball is in your court.;Варіанти зрозумілі, і черга за тобою.
We've done everything we can, and the ball is in your court.;Ми зробили все, що могли, і черга за тобою.
The situation is ready for your input, and the ball is in your court.;Ситуація готова для твого вкладу, і черга за тобою.
I've given you all the facts, now the ball is in your court to decide what to do.;Я надав тобі всі факти, тепер черга за тобою вирішувати, що робити.
The seller has accepted our counter-offer, so the ball is in your court to proceed with the purchase.;Продавець прийняв нашу зустрічну пропозицію, тож тепер черга за тобою продовжувати покупку.
We've presented our business plan, the ball is in your court, investors.;Ми представили наш бізнес-план, тепер слово за вами, інвестори.
The choice is yours, I've said all I can, so the ball is in your court.;Вибір за тобою, я сказав усе, що міг, тож тепер черга за тобою.
After lengthy negotiations, they've made their final offer. The ball is in your court now.;Після тривалих переговорів вони зробили свою остаточну пропозицію. Тепер черга за тобою.
The committee has reviewed your application, and the ball is in your court to schedule an interview.;Комітет розглянув вашу заявку, і тепер ваша черга призначити співбесіду.
I've apologized and explained my side, the ball is in your court if you want to reconcile.;Я вибачився і пояснив свою позицію, тепер черга за тобою, якщо ти хочеш помиритися.
The software update is ready for deployment, the ball is in your court, IT department.;Оновлення програмного забезпечення готове до розгортання, тепер черга за вами, ІТ-відділ.
We've outlined the potential risks and benefits, the ball is in your court to make the final call.;Ми окреслили потенційні ризики та переваги, тепер черга за тобою прийняти остаточне рішення.
The job offer has been extended, the ball is in your court to accept or decline.;Пропозицію про роботу було зроблено, тепер ваша черга прийняти її або відхилити.
The tennis player hit a strong serve, and now the ball is in your court.;Тенісист виконав сильну подачу, і тепер м'яч на твоїй стороні корту.
After a long rally, the opponent's weak return meant the ball is in your court for an easy shot.;Після довгого розіграшу слабкий удар суперника означав, що м'яч на твоїй стороні корту для легкого удару.
The volleyball setter expertly placed the ball, and now the ball is in your court for the spike.;Волейбольний пасуючий майстерно поставив м'яч, і тепер м'яч на твоїй стороні майданчика для атакуючого удару.
He kicked the soccer ball across the field, and now the ball is in your court to make a play.;Він вдарив футбольний м'яч через поле, і тепер м'яч на твоїй половині поля, щоб ти міг зіграти.
The basketball bounced off the rim, and luckily the ball is in your court for a rebound.;Баскетбольний м'яч відскочив від кільця, і, на щастя, м'яч на твоїй стороні для підбирання.
During the badminton match, a high clear sent the shuttlecock deep, and now the ball is in your court.;Під час матчу з бадмінтону високий удар відправив воланчик глибоко, і тепер м'яч (воланчик) на твоїй стороні корту.
The ping pong serve was fast, and the ball is in your court almost instantly.;Подача в настільному тенісі була швидкою, і м'яч майже миттєво опинився на твоїй стороні столу.
In the game of catch, I threw it to you, so the ball is in your court now.;У грі в м'яча я кинув його тобі, тож тепер м'яч у тебе (на твоїй стороні).
The goalkeeper deflected the shot, and the ball is in your court, defender, clear it!;Воротар відбив удар, і м'яч на твоїй стороні, захиснику, вибий його!
After the pass, the ball is in your court right near the net, take the shot!;Після пасу м'яч на твоїй стороні прямо біля сітки, бий!
If you cut corners while cooking, the taste might suffer.;Якщо ти халтуриш під час приготування їжі, смак може постраждати.
He cut corners when building the house, and now there are problems.;Він халтурив під час будівництва будинку, і тепер є проблеми.
Don't cut corners when it comes to safety.;Не халтур, коли справа стосується безпеки.
She cut corners in her research, and the results were unreliable.;Вона халтурила у своєму дослідженні, і результати були ненадійними.
They cut corners in the manufacturing process, and the quality suffered.;Вони халтурили у виробничому процесі, і якість постраждала.
He cut corners when repairing the car, and it broke down again.;Він халтурив під час ремонту машини, і вона знову зламалася.
Don't cut corners when preparing for the exam.;Не халтур, готуючись до іспиту.
She cut corners in her presentation, and it wasn't very effective.;Вона халтурила у своїй презентації, і вона не була дуже ефективною.
They cut corners in the project, and it didn't meet the requirements.;Вони халтурили у проекті, і він не відповідав вимогам.
He cut corners when writing the report, and it was full of errors.;Він халтурив під час написання звіту, і він був повний помилок.
The company was accused of cutting corners on safety regulations, leading to an investigation.;Компанію звинуватили в економії на правилах безпеки, що призвело до розслідування.
If you cut corners on your education, you might not be prepared for your future career.;Якщо ти будеш халтурити з навчанням, ти можеш бути не готовим до майбутньої кар'єри.
The chef never cuts corners with ingredients, ensuring every dish is high quality.;Шеф-кухар ніколи не економить на інгредієнтах, гарантуючи високу якість кожної страви.
Cutting corners on customer service can damage a business's reputation in the long run.;Економія на обслуговуванні клієнтів може зашкодити репутації бізнесу в довгостроковій перспективі.
He tried to cut corners by using a cheaper material, but it ended up costing more to fix the defects.;Він намагався зекономити, використовуючи дешевший матеріал, але в підсумку виправлення дефектів коштувало дорожче.
To finish the project on time, they were tempted to cut corners, but decided against it.;Щоб завершити проект вчасно, у них була спокуса схалтурити, але вони вирішили цього не робити.
Cutting corners during software development can lead to bugs and security vulnerabilities.;Халтура під час розробки програмного забезпечення може призвести до помилок та вразливостей безпеки.
She advises students not to cut corners when proofreading their essays.;Вона радить студентам не халтурити під час вичитування своїх есе.
The contractor was known for cutting corners, so we hired someone else.;Підрядник був відомий тим, що халтурив, тому ми найняли когось іншого.
When you're learning a new skill, it's important not to cut corners and build a solid foundation.;Коли ти вивчаєш нову навичку, важливо не халтурити і закласти міцний фундамент.
The tailor had to cut corners of the fabric precisely to make the pattern fit.;Кравцю довелося точно обрізати кути тканини, щоб візерунок підійшов.
To make the picture frame, he first had to cut corners off the wooden planks at a 45-degree angle.;Щоб зробити раму для картини, йому спочатку довелося обрізати кути дерев'яних дощок під кутом 45 градусів.
The gardener would cut corners of the lawn with shears where the mower couldn't reach.;Садівник обрізав кути газону ножицями там, де не могла дістати газонокосарка.
When laying tiles, it's often necessary to cut corners to fit them around obstacles.;При укладанні плитки часто необхідно обрізати кути, щоб обійти перешкоди.
The carpenter showed the apprentice how to carefully cut corners on the molding for a clean finish.;Столяр показав учневі, як акуратно обрізати кути на молдингу для чистого завершення.
To create the star shape from paper, she had to cut corners inward towards the center.;Щоб створити форму зірки з паперу, їй довелося вирізати кути всередину до центру.
The chef would sometimes cut corners from a block of cheese to create decorative garnishes.;Шеф-кухар іноді зрізав кути з бруска сиру для створення декоративних гарнірів.
In origami, you often fold rather than cut corners to achieve the desired shape.;В оригамі часто згинають, а не ріжуть кути, щоб досягти бажаної форми.
The children were taught to cut corners neatly when making paper snowflakes.;Дітей вчили акуратно вирізати кути, коли вони робили паперові сніжинки.
He used a special tool to cut corners on the metal sheet for the fabrication project.;Він використовував спеціальний інструмент, щоб обрізати кути на металевому листі для виробничого проекту.
I thought you were pulling my leg when you said you met a celebrity.;Я думав, що ти підколюєш мене, коли сказав, що зустрів знаменитість.
She was pulling my leg about winning the lottery.;Вона підколювала мене про виграш у лотерею.
He's always pulling my leg about my cooking.;Він завжди підколює мене про моє приготування їжі.
They were pulling my leg about the surprise party.;Вони підколювали мене про вечірку-сюрприз.
She was pulling my leg about her new job.;Вона підколювала мене про свою нову роботу.
He's pulling my leg about his secret project.;Він підколює мене про свій секретний проект.
They were pulling my leg about the movie plot.;Вони підколювали мене про сюжет фільму.
She's pulling my leg about her famous relative.;Вона підколює мене про свого знаменитого родича.
He was pulling my leg about the treasure map.;Він підколював мене про карту скарбів.
They're pulling my leg about the alien encounter.;Вони підколюють мене про зустріч з прибульцями.
Are you serious, or are you just pulling my leg about the concert being cancelled?;Ти серйозно, чи ти просто підколюєш мене про скасування концерту?
My brother loves pulling my leg by telling me outlandish stories.;Мій брат любить підколювати мене, розповідаючи неймовірні історії.
I realized he was pulling my leg when he couldn't keep a straight face.;Я зрозумів, що він мене підколює, коли він не зміг стримати сміх.
"You won a free trip? You're pulling my leg!" she exclaimed.;"Ти виграв безкоштовну поїздку? Ти, мабуть, підколюєш мене!" – вигукнула вона.
He has a playful habit of pulling my leg, so I never know when to believe him at first.;У нього є грайлива звичка підколювати мене, тому я спочатку ніколи не знаю, коли йому вірити.
Stop pulling my leg and tell me the real reason you're late.;Перестань мене підколювати і скажи справжню причину свого запізнення.
She thought her friends were pulling her leg about the surprise birthday party they planned.;Вона думала, що друзі підколюють її щодо вечірки-сюрпризу на день народження, яку вони планували.
"You got the lead role? Don't pull my leg!" said his skeptical friend.;"Ти отримав головну роль? Не підколюй мене!" – сказав його скептичний друг.
It's hard to tell if he's being genuine or just pulling my leg because he's such a good actor.;Важко сказати, чи він щирий, чи просто підколює мене, бо він такий хороший актор.
The kids were pulling my leg, pretending they saw a ghost in the attic.;Діти підколювали мене, вдаючи, що бачили привида на горищі.
The physical therapist was gently pulling my leg to help with the stretches.;Фізіотерапевт обережно тягнув мене за ногу, щоб допомогти з розтяжкою.
My little brother was pulling my leg, trying to get my attention while I was on the phone.;Мій молодший брат тягнув мене за ногу, намагаючись привернути мою увагу, поки я розмовляв по телефону.
The dog playfully started pulling my leg with its teeth, wanting to play tug-of-war.;Собака грайливо почав тягнути мене за ногу зубами, бажаючи пограти в перетягування.
During the wrestling match, one opponent was illegally pulling my leg to gain an advantage.;Під час борцівського поєдинку один із суперників незаконно тягнув мене за ногу, щоб отримати перевагу.
The child, pretending to be a monster, was hiding under the bed and pulling my leg as I walked by.;Дитина, прикидаючись монстром, ховалася під ліжком і тягнула мене за ногу, коли я проходив повз.
He was stuck in the mud, and his friend was pulling my leg to help free him.;Він застряг у багнюці, і його друг тягнув мене за ногу, щоб допомогти йому вибратися.
The doctor had to be careful when pulling my leg to set the broken bone.;Лікарю довелося бути обережним, тягнучи мене за ногу, щоб вправити зламану кістку.
As a prank, his friends were pulling my leg while I was trying to climb the tree.;Жартома друзі тягнули мене за ногу, поки я намагався залізти на дерево.
The tailor was pulling my leg slightly to measure the inseam for the new trousers.;Кравець злегка тягнув мене за ногу, щоб виміряти внутрішній шов для нових штанів.
In the self-defense class, we learned how to react if an attacker was pulling my leg to trip me.;На заняттях із самооборони ми вчилися, як реагувати, якщо нападник тягне за ногу, щоб підставити підніжку.
I have to hit the books tonight to prepare for the final exams.;Мені потрібно старанно вчитись сьогодні ввечері, щоб підготуватися до фінальних іспитів.
She's hitting the books hard for her medical school entrance exam.;Вона старанно вчиться для вступного іспиту до медичної школи.
He needs to hit the books to improve his grades.;Йому потрібно старанно вчитись, щоб покращити свої оцінки.
They're hitting the books to prepare for the competition.;Вони старанно вчаться, щоб підготуватися до змагання.
She's hitting the books to learn the new language.;Вона старанно вчиться, щоб вивчити нову мову.
He needs to hit the books to pass the certification exam.;Йому потрібно старанно вчитись, щоб здати сертифікаційний іспит.
They're hitting the books to prepare for the presentation.;Вони старанно вчаться, щоб підготуватися до презентації.
She's hitting the books to understand the complex theory.;Вона старанно вчиться, щоб зрозуміти складну теорію.
He needs to hit the books to catch up with the class.;Йому потрібно старанно вчитись, щоб наздогнати клас.
They're hitting the books to prepare for the interview.;Вони старанно вчаться, щоб підготуватися до співбесіди.
With the bar exam just a month away, she knew it was time to seriously hit the books.;Оскільки до іспиту на адвоката залишався лише місяць, вона знала, що настав час серйозно взятися за навчання.
I can't go out tonight, I have to hit the books for my history midterm.;Я не можу сьогодні нікуди піти, мені потрібно готуватися до проміжного іспиту з історії.
He decided to hit the books every evening to master the new programming language.;Він вирішив щовечора старанно вчитися, щоб опанувати нову мову програмування.
If you want to get into that university, you'll need to hit the books harder than ever.;Якщо ти хочеш вступити до того університету, тобі доведеться вчитися старанніше, ніж будь-коли.
My New Year's resolution is to hit the books and finally learn Spanish.;Моя новорічна обіцянка – взятися за навчання і нарешті вивчити іспанську.
The library is my favorite place to hit the books because it's so quiet.;Бібліотека – моє улюблене місце для навчання, бо там так тихо.
She had to hit the books on company policy before her first day at the new job.;Їй довелося вивчити політику компанії перед першим днем на новій роботі.
Instead of watching TV, he chose to hit the books and prepare for his upcoming test.;Замість того, щоб дивитися телевізор, він вирішив вчитися та готуватися до майбутнього тесту.
They formed a study group to hit the books together for their calculus class.;Вони створили навчальну групу, щоб разом готуватися до занять з математичного аналізу.
To become an expert in his field, he knew he had to continuously hit the books and stay updated.;Щоб стати експертом у своїй галузі, він знав, що повинен постійно вчитися та бути в курсі новин.
He was so frustrated with the confusing textbook that he wanted to hit the books against the wall.;Він був настільки розчарований заплутаним підручником, що хотів вдарити книжки об стіну.
The librarian accidentally knocked over a stack, and you could hear her hit the books as they fell.;Бібліотекарка випадково перекинула стос, і було чути, як вона вдарила книжки, коли вони падали.
In his anger, he swept his arm across the desk, causing him to hit the books onto the floor.;У гніві він провів рукою по столу, змусивши його вдарити книжки на підлогу.
The toddler, not knowing any better, started to hit the books with a toy hammer.;Малюк, не розуміючи, що робить, почав бити книжки іграшковим молотком.
During the earthquake drill, a few students ducked under desks and inadvertently hit the books with their heads.;Під час тренування на випадок землетрусу кілька учнів сховалися під парти і ненавмисно вдарилися головами об книжки.
He tripped and fell, managing to hit the books he was carrying against the doorframe.;Він спіткнувся і впав, примудрившись вдарити книжки, які ніс, об одвірок.
To get the dust off the old encyclopedia, she decided to hit the books gently against each other outside.;Щоб збити пил зі старої енциклопедії, вона вирішила обережно вдарити книжки одна об одну на вулиці.
The shelf was overloaded, and when one more was added, it caused the whole row to tilt and hit the books below.;Полиця була перевантажена, і коли додали ще одну, весь ряд нахилився і вдарив книжки знизу.
Trying to swat a fly, he swung a newspaper and accidentally hit the books piled on his nightstand.;Намагаючись прибити муху, він махнув газетою і випадково вдарив книжки, складені на його нічному столику.
The cat jumped onto the bookshelf, lost its balance, and managed to hit the books, sending a few tumbling down.;Кіт стрибнув на книжкову полицю, втратив рівновагу і примудрився вдарити книжки, зваливши кілька з них.
This designer bag costs an arm and a leg!;Ця дизайнерська сумка влетіла в копійку!
The new car costs an arm and a leg, but it's worth it.;Нова машина влетіла в копійку, але воно того варте.
The concert tickets cost an arm and a leg this year.;Квитки на концерт влетіли в копійку цього року.
The wedding dress cost an arm and a leg, but she loved it.;Сукня для весілля влетіла в копійку, але вона її полюбила.
The medical treatment cost an arm and a leg, but it was necessary.;Медичне лікування влетіло в копійку, але воно було необхідним.
The vacation package cost an arm and a leg, but it was amazing.;Турпакет влетів в копійку, але він був дивовижним.
The house renovation cost an arm and a leg, but it looks great.;Ремонт будинку влетів в копійку, але він виглядає чудово.
The designer shoes cost an arm and a leg, but they're comfortable.;Дизайнерські взуття влетіли в копійку, але вони зручні.
The private school tuition costs an arm and a leg, but the education is excellent.;Навчання в приватній школі влетіло в копійку, але освіта відмінна.
The gourmet dinner cost an arm and a leg, but it was delicious.;Гурманська вечеря влетіла в копійку, але вона була смачною.
Fixing the antique clock is going to cost an arm and a leg due to the rare parts needed.;Ремонт антикварного годинника влетить у копійку через необхідні рідкісні деталі.
That lawyer's fees cost an arm and a leg, but he has a great track record.;Послуги того адвоката коштують цілий статок, але в нього чудовий послужний список.
Getting front-row seats for that band would cost an arm and a leg.;Дістати квитки в перший ряд на той гурт коштувало б цілий статок.
She wanted the latest smartphone, but it cost an arm and a leg, so she waited for a sale.;Вона хотіла найновіший смартфон, але він коштував шалених грошей, тому вона дочекалася розпродажу.
Emergency plumbing services on a holiday can cost an arm and a leg.;Аварійні сантехнічні послуги у святковий день можуть влетіти в копійку.
He joked that his daughter's university education was going to cost an arm and a leg, and maybe a kidney too.;Він пожартував, що навчання доньки в університеті влетить у копійку, а може, ще й у нирку.
The custom-made suit cost an arm and a leg, but it fit him perfectly.;Пошитий на замовлення костюм коштував цілий статок, але сидів на ньому ідеально.
Flying first class always costs an arm and a leg, but the comfort is unparalleled.;Політ першим класом завжди коштує шалених грошей, але комфорт незрівнянний.
That rare collectible figurine cost an arm and a leg at the auction.;Та рідкісна колекційна фігурка на аукціоні влетіла в копійку.
Renovating the historical building to its former glory will cost an arm and a leg.;Відновлення історичної будівлі до її колишньої величі влетить у копійку.
Speak of the devil, here comes the boss!;Про вовка промовка, а вовк наввипередки - ось і бос!
Speak of the devil, there's the person we were discussing!;Про вовка промовка, а вовк наввипередки - ось і людина, про яку ми говорили!
Speak of the devil, here's the package we were waiting for!;Про вовка промовка, а вовк наввипередки - ось і посилка, яку ми чекали!
Speak of the devil, there's the car we were looking for!;Про вовка промовка, а вовк наввипередки - ось і машина, яку ми шукали!
Speak of the devil, here comes the person we were just mentioning!;Про вовка промовка, а вовк наввипередки - ось і людина, про яку ми щойно згадували!
Speak of the devil, there's the book we were talking about!;Про вовка промовка, а вовк наввипередки - ось і книга, про яку ми говорили!
Speak of the devil, here's the solution we were hoping for!;Про вовка промовка, а вовк наввипередки - ось і рішення, на яке ми сподівалися!
Speak of the devil, there's the opportunity we were waiting for!;Про вовка промовка, а вовк наввипередки - ось і можливість, яку ми чекали!
Speak of the devil, here comes the person we were just thinking about!;Про вовка промовка, а вовк наввипередки - ось і людина, про яку ми щойно думали!
We were just wondering where Sarah was, and speak of the devil, here she is!;Ми якраз думали, де Сара, і про вовка промовка, ось і вона!
I was just telling my friend about your new haircut, and speak of the devil, you walked in!;Я щойно розповідав другові про твою нову зачіску, і про вовка промовка, ти зайшов!
We were discussing the missing report, and speak of the devil, the manager just asked for it.;Ми обговорювали зниклий звіт, і про вовка промовка, менеджер щойно про нього запитав.
I was just complaining about how loud the neighbors are, and speak of the devil, they started playing music.;Я щойно скаржився на те, які галасливі сусіди, і про вовка промовка, вони увімкнули музику.
We were talking about needing a ride, and speak of the devil, our friend just offered us one.;Ми говорили про те, що нам потрібна підвезення, і про вовка промовка, наш друг щойно запропонував нам.
I was just thinking I hadn't seen you in ages, and speak of the devil, you're right in front of me!;Я щойно подумав, що не бачив тебе цілу вічність, і про вовка промовка, ти прямо переді мною!
They were gossiping about their colleague's promotion, and speak of the devil, he walked into the room.;Вони пліткували про підвищення свого колеги, і про вовка промовка, він зайшов до кімнати.
By taking this route, we can visit both museums and kill two birds with one stone.;Обравши цей маршрут, ми можемо відвідати обидва музеї і вбити двох зайців одним пострілом.
She killed two birds with one stone by combining her workout with her commute.;Вона вбила двох зайців одним пострілом, поєднавши тренування з поїздкою на роботу.
He killed two birds with one stone by studying while exercising.;Він вбив двох зайців одним пострілом, навчаючись під час тренування.
They killed two birds with one stone by having the meeting during lunch.;Вони вбили двох зайців одним пострілом, провівши зустріч під час обіду.
She killed two birds with one stone by shopping while running errands.;Вона вбила двох зайців одним пострілом, роблячи покупки під час виконання справ.
He killed two birds with one stone by networking while attending the conference.;Він вбив двох зайців одним пострілом, займаючись нетворкінгом під час конференції.
They killed two birds with one stone by combining the two events.;Вони вбили двох зайців одним пострілом, поєднавши дві події.
She killed two birds with one stone by learning a language while traveling.;Вона вбила двох зайців одним пострілом, вивчаючи мову під час подорожі.
He killed two birds with one stone by exercising while watching TV.;Він вбив двох зайців одним пострілом, тренуючись під час перегляду телевізора.
They killed two birds with one stone by having the party at the office.;Вони вбили двох зайців одним пострілом, влаштувавши вечірку в офісі.
I'll pick up the groceries on my way home from work, killing two birds with one stone.;Я заберу продукти по дорозі з роботи додому, вбивши двох зайців одним пострілом.
She listens to educational podcasts while cleaning the house, thus killing two birds with one stone.;Вона слухає освітні подкасти під час прибирання будинку, таким чином вбиваючи двох зайців одним пострілом.
He decided to walk to the meeting to get some exercise and save on fuel, killing two birds with one stone.;Він вирішив піти на зустріч пішки, щоб потренуватися та заощадити на пальному, вбивши двох зайців одним пострілом.
By volunteering at the animal shelter, she could help animals and gain experience, killing two birds with one stone.;Волонтерством у притулку для тварин вона могла допомогти тваринам і здобути досвід, вбивши двох зайців одним пострілом.
They scheduled the team-building activity during the annual company retreat, killing two birds with one stone.;Вони запланували командоутворюючий захід під час щорічного корпоративного виїзду, вбивши двох зайців одним пострілом.
I'll call my grandmother while I'm waiting for the train, killing two birds with one stone.;Я зателефоную бабусі, поки чекатиму на поїзд, вбивши двох зайців одним пострілом.
She used her long commute to listen to audiobooks, effectively killing two birds with one stone.;Вона використовувала свою довгу поїздку на роботу для прослуховування аудіокниг, ефективно вбиваючи двох зайців одним пострілом.
He combined his business trip with a short vacation, killing two birds with one stone.;Він поєднав свою ділову поїздку з короткою відпусткою, вбивши двох зайців одним пострілом.
By cooking a large batch of food on Sunday, she prepares meals for the week and saves time, killing two birds with one stone.;Готуючи велику партію їжі в неділю, вона готує їжу на тиждень і економить час, вбиваючи двох зайців одним пострілом.
They decided to carpool to the event, saving money on gas and reducing their carbon footprint, thus killing two birds with one stone.;Вони вирішили поїхати на захід разом на одній машині, заощадивши гроші на бензині та зменшивши свій вуглецевий слід, таким чином вбивши двох зайців одним пострілом.
His rude comment was the last straw, and she decided to quit.;Його грубий коментар був останньою краплею, і вона вирішила звільнитися.
The constant delays were the last straw for the customers.;Постійні затримки були останньою краплею для клієнтів.
The broken promise was the last straw in their relationship.;Порушена обіцянка була останньою краплею в їхніх стосунках.
The missed deadline was the last straw for the project manager.;Пропущений дедлайн був останньою краплею для менеджера проекту.
The noisy neighbors were the last straw for the tenants.;Шумні сусіди були останньою краплею для мешканців.
The poor service was the last straw for the restaurant's regular customers.;Поганий сервіс був останньою краплею для постійних клієнтів ресторану.
The broken equipment was the last straw for the workers.;Зламане обладнання було останньою краплею для працівників.
The unfair treatment was the last straw for the employees.;Несправедливе ставлення було останньою краплею для співробітників.
The constant criticism was the last straw for the team.;Постійна критика була останньою краплею для команди.
The failed attempt was the last straw for the entrepreneur.;Невдала спроба була останньою краплею для підприємця.
After her car broke down for the third time this month, it was the last straw, and she bought a new one.;Після того, як її машина зламалася втретє за цей місяць, це стало останньою краплею, і вона купила нову.
The team had been losing games all season, but the humiliating defeat on home turf was the last straw for the coach.;Команда програвала ігри весь сезон, але принизлива поразка на домашньому полі стала останньою краплею для тренера.
He had tolerated his roommate's messiness for months, but finding moldy food in the living room was the last straw.;Він місяцями терпів неохайність свого сусіда по кімнаті, але знахідка запліснявілої їжі у вітальні стала останньою краплею.
The airline lost his luggage again, this was the last straw, and he swore never to fly with them again.;Авіакомпанія знову загубила його багаж, це стало останньою краплею, і він заприсягся більше ніколи не літати з ними.
The company had been making cuts for a while, but when they cancelled the Christmas bonus, it was the last straw for many employees.;Компанія вже деякий час проводила скорочення, але коли вони скасували різдвяну премію, це стало останньою краплею для багатьох співробітників.
She had been patient with the slow internet service, but when it went out during her important video call, it was the last straw.;Вона терпляче ставилася до повільного інтернет-сервісу, але коли він зник під час її важливого відеодзвінка, це стало останньою краплею.
The politician's series of scandals was damaging, but his blatant lie on national television was the last straw for public trust.;Серія скандалів політика завдавала шкоди, але його відверта брехня на національному телебаченні стала останньою краплею для суспільної довіри.
The leaky faucet was annoying, but when the pipe burst and flooded the kitchen, it was the last straw for the homeowner.;Кран, що протікав, дратував, але коли труба прорвалася і затопила кухню, це стало останньою краплею для власника будинку.
He tried to ignore the bullying, but when they damaged his property, it was the last straw, and he reported them.;Він намагався ігнорувати знущання, але коли вони пошкодили його майно, це стало останньою краплею, і він повідомив про них.
The restaurant had been getting bad reviews, but a health code violation was the last straw, leading to its closure.;Ресторан отримував погані відгуки, але порушення санітарних норм стало останньою краплею, що призвело до його закриття.
Be careful not to burn the bridges with your former employer.;Будь обережним, щоб не спалити мости з колишнім роботодавцем.
